RPS,Ion,,Expected downtime (days),,,,,,,,,Ion,RPS,Expected downtime (days),Availability,,,
s_parts=141,s_parts=7,21105.3115,21.1053115,,,,,,,,,7,141,21.1053115,99.86%,,,
s_parts=139,s_parts=10,21117.25864,21.11725864,,,,,,,,,10,139,21.11725864,99.86%,,,
s_parts=139,s_parts=9,21117.5034,21.1175034,,,,,,,,,9,139,21.1175034,99.86%,,,
s_parts=139,s_parts=8,21120.06651,21.12006651,,,,,,,,,8,139,21.12006651,99.86%,,,
s_parts=140,s_parts=7,21121.53938,21.12153938,,,,,,,,,7,140,21.12153938,99.86%,,,
s_parts=139,s_parts=7,21144.50187,21.14450187,,,,,,,,,7,139,21.14450187,99.86%,,,
s_parts=138,s_parts=10,21149.53142,21.14953142,,,,,,,,,10,138,21.14953142,99.86%,,,
s_parts=138,s_parts=9,21149.77617,21.14977617,,,,,,,,,9,138,21.14977617,99.86%,,,
s_parts=138,s_parts=8,21152.33921,21.15233921,,,,,,,,,8,138,21.15233921,99.86%,,,
s_parts=138,s_parts=7,21176.77401,21.17677401,,,,,,,,,7,138,21.17677401,99.85%,,,
s_parts=137,s_parts=10,21194.58027,21.19458027,,,,,,,,,10,137,21.19458027,99.85%,,,
s_parts=137,s_parts=9,21194.82501,21.19482501,,,,,,,,,9,137,21.19482501,99.85%,,,
s_parts=137,s_parts=8,21197.38796,21.19738796,,,,,,,,,8,137,21.19738796,99.85%,,,
s_parts=137,s_parts=7,21221.82197,21.22182197,,,,,,,,,7,137,21.22182197,99.85%,,,
s_parts=136,s_parts=10,21257.03386,21.25703386,,,,,,,,,10,136,21.25703386,99.85%,,,
s_parts=136,s_parts=9,21257.27859,21.25727859,,,,,,,,,9,136,21.25727859,99.85%,,,
s_parts=136,s_parts=8,21259.84141,21.25984141,,,,,,,,,8,136,21.25984141,99.85%,,,
s_parts=197,s_parts=6,21278.93881,21.27893881,,,,,,,,,6,197,21.27893881,99.85%,,,
s_parts=198,s_parts=6,21278.93881,21.27893881,,,,,,,,,6,198,21.27893881,99.85%,,,
s_parts=199,s_parts=6,21278.93881,21.27893881,,,,,,,,,6,199,21.27893881,99.85%,,,
s_parts=200,s_parts=6,21278.93881,21.27893881,,,,,,,,,6,200,21.27893881,99.85%,,,
